trip_id,arrival_time,departure_time,stop_id,stop_sequence
1001,08:00:00,08:00:00,101,1
1001,08:12:00,08:12:00,205,2
1001,08:24:00,08:24:00,308,3
1001,08:36:00,08:36:00,410,4
1001,08:48:00,08:48:00,550,5
1002,08:15:00,08:15:00,101,1
1002,08:27:00,08:27:00,205,2
1002,08:39:00,08:39:00,308,3
1002,08:51:00,08:51:00,410,4
1002,09:03:00,09:03:00,550,5
1003,08:30:00,08:30:00,101,1
1003,08:42:00,08:42:00,205,2
1003,08:54:00,08:54:00,308,3
1003,09:06:00,09:06:00,410,4
1003,09:18:00,09:18:00,550,5
1004,08:45:00,08:45:00,101,1
1004,08:57:00,08:57:00,205,2
1004,09:09:00,09:09:00,308,3
1004,09:21:00,09:21:00,410,4
1004,09:33:00,09:33:00,550,5
1005,09:00:00,09:00:00,101,1
1005,09:12:00,09:12:00,205,2
1005,09:24:00,09:24:00,308,3
1005,09:36:00,09:36:00,410,4
1005,09:48:00,09:48:00,550,5
1006,09:15:00,09:15:00,101,1
1006,09:27:00,09:27:00,205,2
1006,09:39:00,09:39:00,308,3
1006,09:51:00,09:51:00,410,4
1006,10:03:00,10:03:00,550,5
1007,09:30:00,09:30:00,101,1
1007,09:42:00,09:42:00,205,2
1007,09:54:00,09:54:00,308,3
1007,10:06:00,10:06:00,410,4
1007,10:18:00,10:18:00,550,5
1008,09:45:00,09:45:00,101,1
1008,09:57:00,09:57:00,205,2
1008,10:09:00,10:09:00,308,3
1008,10:21:00,10:21:00,410,4
1008,10:33:00,10:33:00,550,5
1009,10:00:00,10:00:00,101,1
1009,10:12:00,10:12:00,205,2
1009,10:24:00,10:24:00,308,3
1009,10:36:00,10:36:00,410,4
1009,10:48:00,10:48:00,550,5
1010,10:15:00,10:15:00,101,1
1010,10:27:00,10:27:00,205,2
1010,10:39:00,10:39:00,308,3
1010,10:51:00,10:51:00,410,4
1010,11:03:00,11:03:00,550,5
1011,10:30:00,10:30:00,101,1
1011,10:42:00,10:42:00,205,2
1011,10:54:00,10:54:00,308,3
1011,11:06:00,11:06:00,410,4
1011,11:18:00,11:18:00,550,5
1012,10:45:00,10:45:00,101,1
1012,10:57:00,10:57:00,205,2
1012,11:09:00,11:09:00,308,3
1012,11:21:00,11:21:00,410,4
1012,11:33:00,11:33:00,550,5
1013,11:00:00,11:00:00,101,1
1013,11:12:00,11:12:00,205,2
1013,11:24:00,11:24:00,308,3
1013,11:36:00,11:36:00,410,4
1013,11:48:00,11:48:00,550,5
1014,11:15:00,11:15:00,101,1
1014,11:27:00,11:27:00,205,2
1014,11:39:00,11:39:00,308,3
1014,11:51:00,11:51:00,410,4
1014,12:03:00,12:03:00,550,5
1015,11:30:00,11:30:00,101,1
1015,11:42:00,11:42:00,205,2
1015,11:54:00,11:54:00,308,3
1015,12:06:00,12:06:00,410,4
1015,12:18:00,12:18:00,550,5
